,BOROUGH,LAND SQUARE FEET,GROSS SQUARE FEET,SALE PRICE,SQUARE FOOT VALUE ($),YEAR BUILT,TAX CLASS AT TIME OF SALE
169,Manhatten,10053,78882.0,2341975,29.69,2014,2
782,Manhatten,9875,113062.0,150000000,1326.71,1906,4
792,Manhatten,9826,122236.0,139725000,1143.08,2010,4
794,Manhatten,17281,170750.0,92007576,538.84,1900,4
1518,Manhatten, -  ,51644.0,57000000,1103.71,1986,2
1641,Manhatten,9875,145372.0,108000000,742.92,1924,4
1642,Manhatten,30750,645977.0,565000000,874.64,1969,4
1643,Manhatten,5925,64300.0,54000000,839.81,1911,4
1644,Manhatten,4937,55473.0,1161500,20.94,1926,4
1645,Manhatten,7266,81375.0,5000000,61.44,1907,4
1646,Manhatten,6994,79465.0,220000,2.77,1913,4
1647,Manhatten,7406,81000.0,105592700,1303.61,2007,4
1648,Manhatten,7406,177000.0,128177800,724.17,2010,4
1649,Manhatten,19011,473391.0,212500000,448.89,1929,4
1650,Manhatten,7406,122859.0,139657500,1136.73,2008,4
1651,Manhatten,4938,80185.0,51000000,636.03,1913,4
1661,Manhatten,17623,400531.0,239114603,596.99,1929,2
1662,Manhatten,12127,303175.0,182391612,601.61,1921,2
2074,Manhatten,42762,993569.0,652000000,656.22,1983,4
2075,Manhatten,27600,566858.0,3288000,5.80,1973,4
2076,Manhatten,53632,1617206.0,1040000000,643.08,1987,4
2077,Manhatten,20684,527605.0,54052917,102.45,1912,4
2079,Manhatten,6834,143730.0,100107200,696.49,2007,4
2081,Manhatten,6497,119467.0,93550000,783.06,1902,4
2082,Manhatten,5646,74863.0,51100000,682.58,1900,4
2472,Manhatten,9876,106800.0,126000000,1179.78,1910,4
2474,Manhatten,11553,217991.0,1159531,5.32,1913,4
2883,Manhatten,10344,61612.0,72200000,1171.85,1900,2
3331,Manhatten,8175,114000.0,109000000,956.14,1900,4
3332,Manhatten,25297,151541.0,153000000,1009.63,1930,4
3336,Manhatten,7742,54328.0,32250000,593.62,1900,4
3816,Manhatten,20019,154328.0,205961801,1334.57,1911,4
3929,Manhatten,68200,267008.0,18000000,67.41,1959,2
3930,Manhatten,71575,267008.0,18000000,67.41,1959,2
3931,Manhatten,65340,267008.0,18000000,67.41,1958,2
3932,Manhatten,76650,267008.0,18000000,67.41,1958,2
3933,Manhatten,66425,267008.0,18000000,67.41,1959,2
3934,Manhatten,84425,267008.0,18000000,67.41,1960,2
3935,Manhatten,66825,185318.0,5020000,27.09,1959,2
3936,Manhatten,189025,555954.0,5020000,9.03,1959,2
3937,Manhatten,189025,555954.0,5020000,9.03,1959,2
3938,Manhatten,189025,555954.0,5020000,9.03,1959,2
3939,Manhatten,64675,185318.0,5020000,27.09,1959,2
3941,Manhatten,65212,336334.0,67500000,200.69,1926,2
4436,Manhatten,16986,58000.0,15453750,266.44,1940,4
4551,Manhatten,21193,96446.0,22600000,234.33,2000,2
4555,Manhatten,13481,55725.0,25000000,448.63,1910,2
4747,Manhatten,12488,51570.0,25000000,484.78,1924,2
4748,Manhatten,12000,102068.0,32000000,313.52,1911,2
4822,Manhatten,10625,53340.0,7630400,143.05,1905,2
4860,Manhatten,14375,61584.0,19200000,311.77,1927,2
4861,Manhatten,13625,54261.0,17700000,326.20,1925,2
4965,Manhatten,39779,350000.0,330000000,942.86,1962,4
4966,Manhatten,28637,265562.0,5300000,19.96,1910,4
4974,Manhatten,141836,829024.0,620000000,747.87,1975,2
5243,Manhatten,13248,146246.0,46500000,317.96,1969,4
5282,Manhatten,8000,57128.0,61500000,1076.53,2014,2
5511,Manhatten,23251,112493.0,10,0.00,1890,2
5512,Manhatten,23251,112493.0,10,0.00,1890,2
5799,Manhatten,9250,170230.0,90000000,528.70,1923,4
5800,Manhatten,9250,170230.0,90000000,528.70,1923,4
5802,Manhatten,7541,125495.0,155000000,1235.11,1922,4
5804,Manhatten,5020,58458.0,62750000,1073.42,1926,4
5806,Manhatten,10677,119867.0,131667000,1098.44,1940,4
6136,Manhatten,7531,60043.0,318000,5.30,1959,2
7457,Manhatten,11750,134441.0,83126000,618.31,1911,4
7461,Manhatten,7532,52851.0,68000000,1286.64,1914,4
7462,Manhatten,4016,58538.0,50000000,854.15,1914,4
7468,Manhatten,7532,112850.0,20000,0.18,2007,4
7469,Manhatten,7532,112850.0,19000,0.17,2007,4
7470,Manhatten,7532,112850.0,17480,0.15,2007,4
7471,Manhatten,7532,112850.0,20682,0.18,2007,4
7472,Manhatten,7532,112850.0,100,0.00,2007,4
7473,Manhatten,7532,112850.0,100,0.00,2007,4
7474,Manhatten,7532,112850.0,33900,0.30,2007,4
7475,Manhatten,7532,112850.0,33900,0.30,2007,4
7476,Manhatten,7532,112850.0,49900,0.44,2007,4
7477,Manhatten,7532,112850.0,33900,0.30,2007,4
7478,Manhatten,7532,112850.0,49900,0.44,2007,4
7479,Manhatten,7532,112850.0,33900,0.30,2007,4
7480,Manhatten,7532,112850.0,33900,0.30,2007,4
7481,Manhatten,7532,112850.0,49302,0.44,2007,4
7482,Manhatten,7532,112850.0,33900,0.30,2007,4
7483,Manhatten,7532,112850.0,49900,0.44,2007,4
7484,Manhatten,7532,112850.0,33900,0.30,2007,4
7485,Manhatten,7532,112850.0,33900,0.30,2007,4
7486,Manhatten,7532,112850.0,33900,0.30,2007,4
7487,Manhatten,7532,112850.0,149700,1.33,2007,4
7488,Manhatten,7532,112850.0,49900,0.44,2007,4
7489,Manhatten,7532,112850.0,88920,0.79,2007,4
7490,Manhatten,7532,112850.0,53910,0.48,2007,4
7491,Manhatten,7532,112850.0,53910,0.48,2007,4
7492,Manhatten,7532,112850.0,53910,0.48,2007,4
7493,Manhatten,7532,112850.0,83644,0.74,2007,4
7494,Manhatten,7532,112850.0,107820,0.96,2007,4
7495,Manhatten,7532,112850.0,131881,1.17,2007,4
7496,Manhatten,7532,112850.0,53910,0.48,2007,4
7497,Manhatten,7532,112850.0,215640,1.91,2007,4
7498,Manhatten,7532,112850.0,107820,0.96,2007,4
7499,Manhatten,7532,112850.0,33900,0.30,2007,4
7500,Manhatten,7532,112850.0,49900,0.44,2007,4
7501,Manhatten,7532,112850.0,49900,0.44,2007,4
7502,Manhatten,7532,112850.0,33900,0.30,2007,4
7503,Manhatten,7532,112850.0,33900,0.30,2007,4
7504,Manhatten,7532,112850.0,49900,0.44,2007,4
7505,Manhatten,7532,112850.0,33900,0.30,2007,4
7506,Manhatten,7532,112850.0,49900,0.44,2007,4
7507,Manhatten,7532,112850.0,33900,0.30,2007,4
7508,Manhatten,7532,112850.0,149700,1.33,2007,4
